County,State,R0
Brazoria,Texas,0.6955365563779883
Hays,Texas,0.7024702611001451
Summit,Utah,0.729676663465814
Washington,Vermont,0.7346235847688246
Windsor,Vermont,0.7464098737465261
Unknown,Virgin Islands,0.7378674354104394
Chesterfield,Virginia,0.6787857859140755
Spotsylvania,Virginia,0.6622793285543171
Klickitat,Washington,0.7493582458444069
Winnebago,Wisconsin,0.716752652781558
Lee,Alabama,0.7020605289881855
Shelby,Alabama,0.7148830274624796
Garland,Arkansas,0.7184431851426014
Saline,Arkansas,0.7115792284501695
San Bernardino,California,0.6785747586725135
Santa Barbara,California,0.6996773181863002
Garfield,Colorado,0.7248288185044911
Baker,Florida,0.7431397621713877
Citrus,Florida,0.7136227000431399
Clarke,Georgia,0.7250559922469799
Clayton,Georgia,0.6980396972777573
Dougherty,Georgia,0.7093599949668494
Newton,Georgia,0.6952436157636042
Unknown,Guam,0.6934900352452688
Maui,Hawaii,0.7103383976701962
Clinton,Illinois,0.6108183290075163
Whiteside,Illinois,0.6295069945034216
Winnebago,Illinois,0.6174396694484715
Hamilton,Indiana,0.6998964557852946
Allamakee,Iowa,-33319.23909425367
Polk,Iowa,0.6010591268673963
Clark,Kentucky,0.7400137648387998
St. Bernard,Louisiana,0.7053683440315649
Lincoln,Maine,0.7601156292860303
Baltimore city,Maryland,0.6738306650997065
Howard,Maryland,0.6870588038012704
Hampden,Massachusetts,0.6747822827259611
Plymouth,Massachusetts,0.6714239135475487
Ottawa,Michigan,0.6559746132928767
Waseca,Minnesota,0.8029823620386536
Washington,Minnesota,0.7203573464565903
Hinds,Mississippi,0.7036119170872409
Hillsborough,New Hampshire,0.6828244423743444
Erie,New York,0.6920515704148785
Greene,New York,0.6811868697023747
Montgomery,New York,0.7071160917320455
Putnam,New York,0.7025416162011683
Watauga,North Carolina,0.7639264094511203
Wilson,North Carolina,0.6757584741334236
Lucas,Ohio,0.6793009111859786
Medina,Ohio,0.7182190624726595
Cleveland,Oklahoma,0.7031120996986974
Kay,Oklahoma,0.7309119016890226
Payne,Oklahoma,0.7230187925526645
Yamhill,Oregon,0.7354946268327295
Lehigh,Pennsylvania,0.6868336396511106
Luzerne,Pennsylvania,0.6895547057625002
Anderson,South Carolina,0.7193283300569338
Greenville,South Carolina,0.6930720086225022
Horry,South Carolina,0.710431999578899
Denton,Texas,0.7062322161174135
Utah,Utah,0.6658554361334894
Lewis,Washington,0.7311062957912162
Lincoln,Washington,1010.3193753477616
Fairbanks North Star Borough,Alaska,0.7295036133708406
Cleburne,Arkansas,0.7433341189049304
Cleveland,Arkansas,0.758133885292713
Desha,Arkansas,-2454.647344293722
Lincoln,Arkansas,0.47689930133314157
Nevada,California,0.734788859509125
Escambia,Florida,0.6869055451787223
Lake,Florida,0.7089601493660712
Forsyth,Georgia,0.69159560833146
Hall,Georgia,0.6459117991568727
Paulding,Georgia,0.6986006256274716
Troup,Georgia,0.6865384682645777
Peoria,Illinois,0.6237797611062081
Will,Illinois,0.6845952707098742
Bartholomew,Indiana,0.6736246647569133
Floyd,Indiana,0.6987969584959691
Ascension,Louisiana,0.7084795166020234
Unknown,Maine,0.7236502875341714
Frederick,Maryland,0.6658554278654777
Talbot,Maryland,0.6172085161729192
Unknown,Massachusetts,0.7011839918570391
Benton,Minnesota,2661.836371845416
Blue Earth,Minnesota,0.732430216675407
Hancock,Mississippi,0.7201245551212466
Monroe,Mississippi,0.5750706070484563
